"Name","Color (Hex Code)","Catalog Code"
"?", #FFFFFF, 10
"?", #FFFFFF, 15  /* TODO: duplicate case value */
"?", #FFFFFF, 17  /* TODO: duplicate case value */
"?", #000000, 20
"?", #FFFDED, 101
"?", #6D757B, 108
"?", #515B61, 111
"?", #5D5D5D, 112
"?", #CFCFCF, 124
"?", #A1A9B4, 131
"?", #192024, 132
"?", #9EA5AA, 142
"?", #CFD1D5, 145
"?", #C6BDB4, 150
"?", #D5C4B3, 151
"?", #7C8283, 152
"?", #FEF5F0, 180
"?", #E9D7D9, 182
"?", #EBE3DD, 184
"?", #E0DA5F, 221
"?", #BFBA28, 232
"?", #FAF6CC, 250
"?", #F9F8E8, 270
"?", #FDF76C, 310
"?", #F5D300, 311
"?", #797E24, 345
"?", #B0AA76, 352
"?", #898F2B, 442
"?", #98996D, 453
"?", #6B7E6F, 463
"?", #3E4F34, 465
"?", #EDEF05, 501
"?", #F5D300, 506   /* TODO: duplicate case value */
"?", #FDE896, 520
"?", #D7CE8A, 532
"?", #B18B00, 542
"?", #B28F11, 546
"?", #B69F56, 552
"?", #F8D73E, 600
"?", #F8D73E, 605   /* TODO: duplicate case value */
"?", #F7DC00, 608
"?", #FEF09A, 630
"?", #FDE896, 640   /*  TODO: duplicate case value */
"?", #F5D2A6, 651
"?", #FEF9EA, 660
"?", #FAF6E7, 670
"?", #BEBEA8, 672
"?", #F7C35F, 700
"?", #F5CA00, 702
"?", #DFA200, 704
"?", #FCF538, 706
"?", #FADC59, 713
"?", #8C7E6A, 722
"?", #594900, 747
"?", #D6BF94, 761
"?", #656452, 776
"?", #F1AF00, 800
"?", #F5BA5D, 811
"?", #E1A23E, 821
"?", #CCAB3F, 822
"?", #DFA200, 824 /* TODO: duplicate case value */
"?", #D0A44F, 832
"?", #CD944A, 842
"?", #E3BC61, 851
"?", #947C4A, 853
"?", #CBBFA2, 861
"?", #A5866A, 862
"?", #EBE7DD, 870
"?", #9FA086, 873
"?", #9A897B, 874
"?", #F3B259, 904
"?", #CA832C, 922
"?", #C07314, 931
"?", #AC6613, 932
