"property_token","used"
"audio-level","false"
"buffered-rendering","false"
"color","false"
"color-rendering","false"
"direction","false"
"display","false"
"display-align","false"
"fill","false"
"fill-opacity","false"
"fill-rule","false"
"font-family","false"
"font-size","false"
"font-style","false"
"font-variant","false"
"font-weight","false"
"image-rendering","false"
"line-increment","false"
"opacity","false"
"pointer-events","false"
"shape-rendering","false"
"solid-color","false"
"solid-opacity","false"
"stop-color","false"
"stop-opacity","false"
"stroke","false"
"stroke-dasharray","false"
"stroke-linecap","false"
"stroke-linejoin","false"
"stroke-miterlimit","false"
"stroke-opacity","false"
"stroke-width","false"
"text-align","false"
"text-anchor","false"
"text-rendering","false"
"unicode-bidi","false"
"vector-effect","false"
"viewport-fill","false"
"viewport-fill-opacity","false"
"visibility","false"
